a2a3
c7c5
a3a4
b7b6
c2c3
c8b7
d2d4
f7f5
a4a5
b8a6
a1a4
b6b5
a4a3
e7e6
h2h3
f8d6
c1f4
g8f6
e2e3
b7c8
h3h4
e8f7
g1h3
h8f8
d1h5
f6h5
f1e2
a6b8
a3b3
g7g5
f4g5
c8a6
e1f1
d8e7
h1g1
e7f6
b1a3
f8g8
a3c2
f6d4
c3d4
f7e8
e2g4
d6c7
f2f4
h5g3
