a2a4
d7d5
h2h3
e7e5
d2d4
e5e4
d1d2
b8c6
c2c3
g8f6
f2f4
f6h5
a1a2
d8h4
g2g3
h4g3
e1d1
g3g6
h1h2
g6g1
h2f2
g1f2
b1a3
f2f1
d2e1
f1h3
e1g1
a7a6
g1e1
f8d6
d1d2
c6d4
e2e3
h3g2
e1e2
g2e2
