e2e4
b8a6
g1f3
a8b8
d1e2
h7h5
e2c4
h8h6
c4c5
h5h4
g2g4
a6c5
h1g1
h6f6
c2c4
c5d3
e1d1
a7a6
a2a4
d3f4
a4a5
b8a8
f3g5
g8h6
b2b4
c7c5
h2h3
f6f5
a1a4
f4h3
d2d3
d8a5
d1e1
a5d8
e4e5
d8a5
g5h7
c5b4
c4c5
f5f6
c1a3
b7b6
f1e2
f6f3
a3c1
a5c5
g1g3
c5d5
g3g1
c8b7
g1h1
d5e4
a4a1
f7f6
c1d2
h6g4
a1a5
b6a5
d2b4
f6f5
h1h3
e8d8
b1a3
d8e8
h7f8
b7d5
h3g3
d5c4
a3b1
e8f8
b1a3
f3f4
a3c2
d7d6
d3e4
a5a4
g3g4
f8f7
b4a5
f4f2
e2c4
f7e8
g4g6
e8f8
c4e2
f2f3
c2b4
f5f4
e1d1
f8f7
e2f1
a8h8
b4a2
f3e3
g6g2
f7e6
g2e2
h8c8
d1e1
c8c1
a2c1
e3g3
e2b2
g3h3
a5c7
h3d3
b2b4
d3g3
f1a6
g3d3
a6c4
d3d5
c7b8
f4f3
b4b1
h4h3
c4e2
a4a3
b1b5
d5c5
e2c4
e6d7
c4f7
d7d8
b5b1
g7g5
e5e6
c5c4
c1e2
c4c8
b1b3
c8c7
b3c3
c7d7
f7g6
a3a2
c3f3
d7c7
e2d4
c7c3
g6f7
a2a1b
e1d1
c3c4
f3h3
c4c8
h3c3
d6d5
c3b3
c8c1
d1c1
g5g4
b3b7
d8c8
b7b2
g4g3
b2g2
a1d4
g2g3
d4c5
c1d2
c5g1
g3a3
d5e4
d2e1
e4e3
a3a2
c8b8
a2a5
b8c8
a5f5
g1f2
f5f2
e3e2
f7e8
c8b8
e8a4
b8c8
e1e2
c8d8
a4d7
d8c7
f2f8
c7b7
d7c6
b7a7
c6a8
a7b6
f8c8
b6a6
c8f8
a6b5
f8f6
e7f6
e6e7
f6f5
e7e8q
b5b4
e8c6
b4a5
e2d2
f5f4
c6b6
a5a4
b6b8
f4f3
b8b5
a4b5
a8f3
