Rank, Name, Score
1, bbd, 162
2, chess-engine, 150
3, magnuscarlsenmogger, 143
4, john-chess, 140
5, pawnstar, 133
6, logic-and-proofs, 127
7, lmc-ai, 120
8, botty-fischer, 118
9, ichesshbot, 112
10, chessmates, 102
11, chesster, 101
12, sheriff-ai, 94
13, o-of-yes, 89
14, crucificad, 70
15, rookX, 66
16, chessproj, 64
17, chess-king, 61
18, en-passant, 58
19, matex, 53
20, chess-engine2, 44
21, chess-project, 41
21, omega-knight, 41
23, caissa, 38
24, chessgambit, 28
25, chess_engine2, 20
26, stonkfish, 18
27, chess_project_pelm, 3
27, chess-engine3, 3
