g2g3
b7b6
g3g4
g8f6
c2c4
g7g6
f2f4
g6g5
a2a4
e7e5
h2h4
a7a6
a1a2
f8e7
b1a3
d7d6
h1h2
f6d5
d2d3
d5e3
a4a5
c8e6
f1g2
h8f8
h4h5
f7f6
a2a1
f8h8
c1e3
e6c4
a1c1
c4d3
g1h3
d3e2
d1c2
h8f8
e3c5
c7c6
f4g5
b8d7
h5h6
a8c8
c2e4
e2d3
g5g6
b6a5
g2f1
d3f1
e4c6
f1e2
h3f4
e2g4
c5g1
f8g8
c6c5
d7f8
f4d3
g8g6
c5c2
g4f5
g1d4
f8d7
h2d2
d7f8
b2b3
c8b8
b3b4
f5e4
d2g2
a5a4
g2g5
b8b4
g5e5
b4b5
d4e3
b5b4
e5d5
e4h1
d3e5
h1f3
e3g1
f6f5
e5g4
e8f7
g1f2
d8a5
c1a1
b4b8
d5a5
f3g2
a5f5
f7g8
f5c5
g2f1
e1f1
g8f7
c2a4
d6d5
c5c3
g6g7
f2e1
f8e6
a1d1
b8g8
g4h2
e7d6
a4c2
d6a3
h2f3
f7f6
f3e5
e6g5
c3c6
f6e5
d1a1
g7g6
c2f5
e5f5
f1f2
g6g7
a1d1
a3f8
d1a1
g5e6
f2f3
g7g3
f3f2
f8g7
c6b6
e6d4
f2f1
g3f3
e1f2
d4c2
b6b5
g8h8
b5b6
h8b8
a1a2
b8h8
a2a1
f3f2
f1g1
h8a8
a1a5
a8g8
a5c5
c2e1
c5a5
g7b2
b6g6
e1g2
g6a6
f2e2
a6b6
b2h8
a5a2
e2d2
b6b4
h8a1
a2a6
a1h8
b4c4
g8a8
c4c1
a8b8
c1c2
b8f8
c2b2
d5d4
b2b4
f8a8
a6d6
a8d8
b4b2
f5e5
b2b1
d8a8
d6c6
g2e3
b1d1
a8a5
c6c5
e5f4
c5d5
d2h2
d5d7
h8g7
d1e1
e3g2
d7b7
a5b5
e1f1
f4e4
f1e1
e4f4
e1b1
b5b7
b1a1
h2h5
a1a4
h5d5
a4c4
b7e7
h6g7
e7e5
g1g2
e5e1
c4c5
e1b1
c5b5
b1b2
b5b2
d5h5
g2f2
h5e5
b2b8
e5a5
b8b3
a5b5
b3f3
f4e5
f3f4
b5b3
f4f7
e5e4
f7f5
b3e3
f5f6
h7h6
f6f5
e3b3
f5f7
b3b8
f7f8
b8b7
g7g8q
b7b4
g8g3
b4b3
f8a8
b3f3
f2g2
f3f8
g2h2
f8f2
h2h3
f2f3
a8b8
f3f4
b8b3
f4f7
h3g2
f7h7
g2g1
h7f7
b3f3
f7f5
g3h4
e4f3
h4e4
f3e4
g1g2
e4e5
g2h2
e5f6
h2h3
f5f4
h3h2
d4d3
h2h3
f6f5
h3h2
f4c4
h2g3
c4h4
g3f3
h4e4
f3g3
f5g6
g3h2
e4d4
h2g2
g6h5
g2h3
h5g6
h3g3
d4c4
g3f3
c4g4
f3e3
g6f5
e3f2
f5g5
f2e3
g4g2
e3d3
g5f5
d3d4
g2g7
d4d5
f5g5
d5c6
g7a7
c6d6
g5g6
d6e6
g6g7
e6e5
g7h8
e5f4
a7a1
f4e4
a1b1
e4f4
b1c1
f4g3
c1d1
g3g4
d1f1
g4h4
f1h1
h4g4
h1f1
g4h4
f1h1
h4g4
h1d1
g4h5
d1f1
h5h6
f1d1
h6g6
d1f1
g6g5
f1f3
g5h5
f3f1
h5g5
f1b1
g5h5
b1h1
h5g6
h1a1
g6f6
a1h1
f6f7
h1a1
f7f8
a1a3
f8f7
a3a1
f7f8
a1a3
f8e8
h8h7
e8f7
h7h8
f7g6
a3a1
g6h6
a1c1
h6g6
c1e1
g6g5
e1f1
g5h6
f1h1
h6g6
h1f1
g6h6
f1f4
h6h5
h8h7
h5g5
h7g7
g5h5
f4f7
h5g5
f7e7
g5g4
e7a7
g4h3
g7f8
h3g4
f8f7
g4g3
a7a1
g3g2
f7g8
g2h2
a1a2
h2h3
a2a1
h3g3
a1a2
g3h3
a2a1
h3h2
a1a2
h2h1
a2a1
h1h2
a1a2
