b1a3
e7e5
a3b5
b8c6
a1b1
d7d5
g1f3
a7a6
b5c3
d5d4
c3a4
e5e4
f3g1
b7b5
b1a1
b5a4
a2a3
g8f6
c2c3
d8d5
d1c2
d5b3
c2d1
f8d6
g2g3
c8e6
e2e3
d4d3
h2h3
b3b5
h1h2
e6b3
d1e2
d3e2
f1e2
b5d5
e2d1
c6e5
d1e2
e5d3
e1f1
d3c1
a1b1
d5d2
h2h1
d2c2
f2f4
c2b1
f1g2
b1b2
g2f1
b2c3
f1f2
d6c5
f2g2
c3e3
e2g4
e3f2
