a2a3
b8c6
e2e3
f7f6
d2d3
c6b4
b2b3
g8h6
c2c3
d7d5
g2g3
c7c6
h2h3
g7g5
a3a4
d8d7
f2f3
f8g7
c3c4
d7d8
d3d4
d8a5
c4d5
a5b6
e3e4
c8e6
d5e6
e8f8
f3f4
b6a5
b1d2
a5d8
h3h4
d8b6
g3g4
h8g8
e4e5
b6c7
f4g5
h6f5
a4a5
g8h8
h4h5
b4a6
h5h6
f5e3
h6g7
f8e8
g5g6
e3d5
g7h8q
