c2c4
b7b5
g2g3
c8b7
c4b5
b7h1
f2f3
h1g2
f3f4
g2f1
h2h4
f1e2
g1e2
a7a6
b5b6
d8c8
f4f5
c7b6
d1c2
c8c2
e1f1
c2b1
g3g4
b1c1
e2c1
g8h6
d2d4
h6f5
c1e2
f5g3
f1g1
g3e2
g1h2
e2d4
h2g2
a8a7
a2a4
b8c6
g4g5
f7f6
a1e1
d4f3
e1d1
f3h4
g2f2
f6g5
d1d5
b6b5
d5c5
b5a4
f2e2
a7b7
e2d2
b7b2
d2d1
d7d6
c5c4
d6d5
c4c1
b2b1
c1b1
e7e6
b1b5
a6b5
d1e1
f8c5
e1d1
c5a3
d1e1
e8g8
e1d1
f8f7
d1e2
g8h8
e2d2
h8g8
d2e2
g8h8
e2e1
h8g8
e1e2
