g1h3
e7e5
b1c3
e8e7
h3g5
g8h6
g5e4
h8g8
c3d5
e7e6
d5c7
d8c7
e4g5
e6f5
g5h7
f8e7
h2h4
c7c4
c2c3
c4f4
d2d3
f4h4
h1h4
e7h4
d1a4
h4d8
a4e4
f5e6
e4c4
e6d6
c1h6
g7h6
c4c8
g8h8
c8b7
h8h7
b7e4
h7h8
e4a8
d8g5
a8a7
h8e8
d3d4
d6e6
a7b7
e8f8
d4e5
e6e5
f2f4
g5f4
b7c7
e5e6
c7f4
f8g8
f4h6
g8g6
h6h3
e6e7
h3h4
f7f6
h4h7
e7e6
h7g6
b8a6
g6e8
e6d6
e1c1
d6c5
e8c8
c5b6
d1d6
b6b5
c8a6
b5c5
b2b4
