e2e4
d7d5
e4d5
g8h6
d2d4
b7b5
f1b5
c7c6
d5c6
c8f5
c6c7
b8d7
c7d8b
h6g4
d1f3
a8d8
f3f5
g4e5
f5e5
g7g6
e5h8
d8c8
c1h6
c8c4
h8f8
