b1c3
a7a6
g1f3
a6a5
d2d4
a5a4
c3a4
a8a4
e2e4
a4d4
f3d4
b7b6
c1e3
b6b5
f1b5
c7c6
b5c6
d7c6
d4c6
d8d1
a1d1
b8c6
e1f1
c6d8
d1d8
e8d8
f1g1
e7e6
e4e5
f7f6
e5f6
g7f6
a2a3
f8a3
b2a3
e6e5
h2h3
c8h3
g2h3
e5e4
e3d4
e4e3
d4e3
f6f5
e3d4
f5f4
d4h8
f4f3
h8c3
h7h6
c3d4
h6h5
d4c3
h5h4
c3d4
d8c7
d4c3
c7b6
c3d4
b6a5
d4c3
a5a4
c3d4
a4a3
d4c3
a3a2
c3d4
a2a3
d4c3
a3a2
c3d4
a2a3
