a2a4
b8c6
c2c3
a8b8
d2d4
a7a6
f2f4
c6a7
f4f5
h7h5
g1h3
h5h4
b1a3
a7c6
a4a5
c6b4
c1d2
b4c2
a3c2
e7e6
g2g4
d7d6
d2h6
e6e5
c2a3
g7g6
h6f8
f7f6
d4d5
c8d7
g4g5
b7b5
a1a2
b8a8
f8d6
c7c5
e2e4
d7f5
a3b5
d8b6
h1g1
h8h5
a2a3
f5g4
h3f2
b6a7
f1g2
g4f3
d1b3
f3e4
f2h1
f6f5
d6e5
a7d7
e5g7
a8d8
e1d1
d7d5
b5d4
c5d4
g2h3
e8d7
g1g2
h5h6
h1g3
d8f8
g2g1
e4f3
d1e1
d5f7
g5h6
f8a8
b3b4
f3h1
h3g4
g8h6
a3b3
h1b7
b4b7
