b1a3
b8c6
d2d4
g8f6
c1g5
f6e4
g5f6
e7f6
a3b5
f8b4
b5c3
b4c3
b2c3
e4c3
a2a4
c3d1
f2f4
d1e3
a1a2
c6d4
g1f3
d4f3
g2f3
d7d5
a2a1
e3c2
e1f2
c2a1
h1g1
g7g6
f2g2
d8d6
a4a5
d6f4
g2f2
f4h2
g1g2
h2h3
f3f4
h3h4
f2f3
h4h3
g2g3
c8g4
f3e3
h3g3
e3d4
g3f4
d4d5
a1b3
e2e3
g4e6
