b1c3
e7e5
g1f3
b8c6
e2e4
f8b4
c3d5
g8f6
d5b4
d7d6
b4c6
d8d7
c6b4
d7e6
f1b5
e8f8
d2d4
e6f5
e4f5
c8d7
b5d7
a8c8
d7c8
