h2h3
b8c6
d2d3
c6e5
c1f4
e5d3
e2d3
g8f6
c2c3
f6d5
f4e5
d5e3
d1g4
e3g4
e5d6
g4f2
a2a4
f2d3
f1d3
e7d6
d3c4
d8h4
e1d1
h4c4
g2g3
c4b3
d1d2
b3b2
d2d1
b2a1
d1e2
a1b2
e2d3
b2b1
d3e3
b1c1
e3e2
c1c2
e2e3
c2c3
e3e4
c3c6
e4d4
c6a4
d4d3
a4a3
d3e4
a3a4
e4e3
a4a3
e3d4
a3c5
d4e4
c5c6
e4d4
c6h1
d4d3
h1d5
d3e3
d5e5
e3f3
e5c3
f3g4
c3d4
g4g5
d4e5
g5g4
e5e4
g4g5
e4e5
g5g4
e5e4
g4g5
e4e5
