a2a3
b8c6
h2h4
g8f6
g2g4
f6g4
g1h3
e7e5
d2d4
e5d4
b2b4
d8h4
c1d2
g4e3
c2c4
e3d1
h1g1
d1e3
b4b5
e3c2
e1d1
c2a1
g1g5
h4e4
g5g2
e4b1
d2c1
b1c2
d1e1
c2c1
