h2h3
d7d6
g2g3
g8f6
f2f4
b8a6
a2a3
a6c5
d2d3
d6d5
e2e4
d8d6
b2b4
d5e4
d1e2
e4d3
a1a2
d3e2
c2c3
d6d1
e1f2
e2f1q
f2e3
d1d3
