a2a3
a7a5
d2d4
e7e6
c1h6
g7h6
b2b3
f7f6
b1c3
f8e7
d1c1
e6e5
g1f3
b7b6
c1d1
a8a6
d4e5
f6f5
b3b4
c7c5
c3b1
e8f8
f3d2
g8f6
e2e3
f6g8
d2b3
d7d6
d1f3
e7g5
b3a5
d6d5
c2c4
f8e7
e1e2
g5e3
e5e6
e3f2
b1d2
c8b7
f3h3
e7e6
h3f3
d5c4
f3d5
e6d5
h1g1
f2e3
g2g4
e3g1
a1d1
b7c8
h2h4
d8c7
d2e4
d5e5
e4g5
c7b7
d1b1
c4c3
g5e6
b6a5
b1d1
c5b4
e6c5
b8d7
d1d4
b7f3
e2e1
b4b3
c5b7
a6b6
f1g2
d7c5
d4d1
f5f4
g2h3
g8f6
d1d8
c8b7
d8b8
f3h1
b8c8
h8c8
e1d1
b6e6
h4h5
c8c6
d1c1
g1e3
