b1a3
g8f6
a3b1
e7e5
c2c3
f8d6
h2h4
e8g8
b2b3
b8c6
g1h3
d8e8
e2e3
b7b6
f2f3
f6h5
d1c2
h7h6
c2g6
f7g6
h1h2
e5e4
e1e2
d6h2
f3f4
h5g3
e2e1
g3f1
h4h5
f1g3
a2a3
c6a5
h5g6
a5b3
h3g1
h2g1
f4f5
f8f5
a1a2
f5f1
