h2h4
b8c6
g2g3
d7d5
g3g4
c8g4
a2a3
g8f6
h4h5
g4h5
e2e4
h5d1
h1h2
d1c2
f1e2
d8d6
g1f3
d5e4
e2b5
e4f3
b2b4
d6e5
b5e2
e5e2
