g2g4
d7d5
b1a3
c8g4
d2d4
e7e6
b2b4
f8b4
c1d2
b4a3
a1c1
a3c1
e2e3
g4d1
d2a5
d1c2
a5d2
c2e4
h2h4
c1d2
e1d1
d2e3
f2f3
e4f5
f1d3
f5d3
a2a3
d8f6
f3f4
f6d4
h1h3
d4a1
