b1a3
e7e5
f2f4
e5f4
a3b5
g8f6
g2g3
c7c6
b2b3
c6b5
c1b2
f4g3
d1c1
d7d5
a1b1
g3h2
b2a1
h2g1q
e2e3
g1h1
a1c3
c8g4
d2d4
f6e4
c1d1
h1h4
