b1c3
e7e6
g1f3
g8f6
e2e4
f8b4
f1d3
e8g8
e1g1
b8c6
g2g4
b4c3
d2c3
f6g4
c3c4
g4e5
c1e3
e5f3
d1f3
c6e5
f3e2
c7c6
c4c5
d8f6
a1d1
f6g6
g1h1
g6g4
e2g4
e5g4
e3f4
d7d5
c5d6
e6e5
f4g3
f8e8
h1g1
g4f6
f1e1
c8d7
c2c4
a8b8
c4c5
b8a8
d3c4
a8c8
c4b3
c8b8
b3c4
b8a8
c4b3
a8c8
b3c4
c8d8
c4b3
d7g4
d1d3
g4h5
b3f7
g8f7
d3c3
d8a8
c3c2
f7g8
a2a3
h5g6
c2c4
a8b8
h2h3
e8e6
c4a4
b8a8
a4c4
a8f8
c4a4
a7a6
a4b4
f8b8
e1e3
f6d7
b4c4
g6e8
e3e1
e6g6
c4c3
b7b6
b2b4
b6c5
b4c5
b8b5
e1c1
d7f6
c1e1
e8d7
h3h4
d7e6
c3c2
b5a5
g1h1
a5a3
c2b2
f6d7
b2c2
e6g4
h1g1
g4f3
c2c4
d7f6
c4b4
h7h5
b4b8
g8f7
b8b7
f7e8
b7e7
e8d8
e7e5
f6d7
e5e7
d7c5
g1h2
f3g4
e1c1
c5d3
c1c6
g4f3
c6c7
a3a1
c7d7
d8c8
d7c7
c8d8
c7d7
d8c8
d7c7
c8d8
