Rank, Name, Score
1, bbd, 159
2, chess-engine, 148
3, botty-fischer, 143
4, magnuscarlsenmogger, 140
5, john-chess, 137
6, logic-and-proofs, 135
7, pawnstar, 127
8, ichesshbot, 111
9, lmc-ai, 109
10, chessmates, 103
11, sheriff-ai, 98
12, o-of-yes, 97
13, chesster, 92
14, rookX, 66
14, chessproj, 66
16, crucificad, 64
17, chess-engine3, 61
18, chess-project, 55
19, matex, 53
20, chess-engine2, 48
21, caissa, 42
21, chess-king, 42
23, chess_engine2, 36
24, stonkfish, 33
25, chessgambit, 25
26, omega-knight, 6
26, en-passant, 6
26, chess_project_pelm, 6
