b2b4
e7e6
h2h3
d8f6
h3h4
f6a1
c1b2
a1b2
c2c3
b2a2
h1h2
f8d6
d2d3
d6h2
b4b5
h2g1
b1d2
g1h2
h4h5
g8f6
f2f3
h2g3
