Rank, Name, Score
1, bbd, 156
2, logic-and-proofs, 147
3, pawnstar, 145
4, ichesshbot, 136
5, magnuscarlsenmogger, 130
6, botty-fischer, 120
7, stonkfish, 112
8, chess-king, 105
9, rookX, 98
10, en-passant, 97
11, chessproj, 96
12, john-chess, 95
13, o-of-yes, 81
14, lmc-ai, 79
15, chess-engine3, 69
15, chess-engine2, 69
17, chessgambit, 66
18, crucificad, 55
19, sheriff-ai, 52
20, chess-engine, 39
20, caissa, 39
22, chesster, 15
22, chess-project, 15
22, omega-knight, 15
22, chessmates, 15
22, chess_project_pelm, 15
22, chess_engine2, 15
