g1h3
b8a6
g2g3
f7f5
b1a3
f5f4
g3f4
e7e6
a1b1
d8f6
b1a1
f6d4
a1b1
h7h6
b1a1
g8e7
a1b1
d4e5
f4e5
h6h5
b1a1
h5h4
a1b1
a6b4
b1a1
e7f5
a1b1
b4c6
b1a1
f8c5
a1b1
g7g5
h3g5
h8f8
g5e6
f8h8
e6c5
c6b8
c5b7
a7a5
b7a5
a8a5
b1a1
h8h7
a1b1
h7e7
b1a1
a5a3
b2a3
e8f8
a1b1
f5g7
b1b8
f8g8
b8c8
e7e8
c8e8
g7e8
c1b2
g8f8
d1c1
f8f7
c1b1
d7d6
e5d6
e8f6
b2f6
f7g6
d6c7
g6h6
c7c8q
h6h5
f6h4
h5h4
b1a1
h4h5
a1b1
h5h6
b1a1
h6h5
a1b1
h5h4
b1a1
h4h5
a1b1
