b1a3
e7e5
a3c4
e5e4
c4a5
d8g5
h2h3
g5a5
b2b4
a5b4
e2e3
b8c6
c2c4
a8b8
c1b2
b4b2
d1f3
e4f3
e3e4
b2a1
