h2h3
g8f6
b1a3
e7e6
g1f3
f8a3
f3h2
a3d6
g2g4
h7h5
h2f3
h5g4
a2a3
g4f3
d2d3
f3e2
d1d2
e2f1q
h1f1
b8c6
c2c4
c6d4
d2e3
d4c2
e1d1
c2e3
d1e1
e3c2
e1d1
c2a1
a3a4
h8h3
b2b3
h3d3
c1d2
d6b4
f2f3
d3d2
d1c1
a1b3
c1b1
b4c3
f1f2
d2f2
a4a5
f2b2
