h2h4
b8c6
f2f4
g8f6
b1a3
e7e5
d2d4
f8a3
e1f2
f6e4
f2f3
d7d5
d1d3
c8g4
f3e3
e5d4
d3d4
c6d4
b2b4
d4f5
e3d3
e4f2
d3c3
d8f6
c3b3
f6a1
b4b5
a1c1
c2c3
f2e4
c3c4
e4c5
