Rank, Name, Score
1, bbd, 160
2, ichesshbot, 152
3, chess-engine, 145
4, o-of-yes, 144
5, magnuscarlsenmogger, 132
6, lmc-ai, 128
7, logic-and-proofs, 115
8, john-chess, 114
9, botty-fischer, 112
10, pawnstar, 107
11, sheriff-ai, 106
12, chesster, 94
13, stonkfish, 90
14, en-passant, 88
15, chessmates, 84
16, chess-king, 66
17, omega-knight, 57
18, chess-engine3, 56
19, crucificad, 54
20, chess_project_pelm, 50
21, chess-engine2, 43
22, rookX, 40
23, chess_engine2, 30
24, matex, 25
25, chessproj, 13
26, chessgambit, 12
27, chess-project, 9
28, caissa, 7
