b1c3
d7d6
g1f3
b8c6
c3d5
d8d7
e2e3
e7e6
d5f4
g8f6
f1b5
e6e5
f4d3
e5e4
d3b4
e4f3
b5c6
b7c6
d1f3
d6d5
b4d3
d7g4
d3e5
g4f3
e5f3
f8d6
f3d4
c8d7
e1g1
c6c5
d4f3
d7a4
b2b3
a4b5
f1e1
a8d8
c1b2
e8f8
b2f6
g7f6
a1c1
d8d7
c1b1
f8g7
f3h4
g7h6
b1a1
h8e8
a1c1
h6h5
h4f5
h5g5
f5d6
d7d6
c1d1
e8h8
g1h1
h8g8
d1b1
g8g7
b1a1
d6a6
h1g1
a6a5
e1b1
b5d7
b1c1
d7f5
c2c3
g5h4
c3c4
d5c4
c1c4
