b2b3
a7a6
f2f4
e7e6
c1b2
a6a5
b2a3
d7d5
d2d4
f8a3
h2h3
a3b2
d1d3
b2a1
d3d2
a5a4
f4f5
a4b3
a2b3
d8h4
g2g3
h4g3
e1d1
g3f2
d2e1
f2d4
e1d2
d4d2
b1d2
a1d4
f5e6
a8a1
d2b1
a1b1
d1d2
b1f1
b3b4
f7e6
g1f3
f1h1
f3h2
h1h2
c2c4
d5c4
h3h4
h2h4
d2e1
d4c3
e1f1
c3b4
e2e3
h4e4
f1g1
b4d2
g1h1
d2e3
h1h2
e3d4
h2g2
e6e5
g2h2
c8e6
h2h1
c4c3
h1h2
c3c2
h2h1
c2c1q
h1h2
c1g1
