a2a3
a7a6
b2b3
a6a5
c2c3
f7f6
d2d3
b8a6
e2e3
e7e6
f2f3
b7b6
g2g3
h7h6
h2h3
g8e7
a3a4
e7d5
b3b4
h6h5
c3c4
f8c5
d3d4
c8b7
e3e4
h8f8
f3f4
b7c6
g3g4
h5h4
b4b5
d8c8
c4d5
e8e7
d4c5
c8d8
e4e5
a6c5
f4f5
a8c8
g4g5
c5a4
b5c6
a4c3
d5d6
c7d6
e5d6
e7f7
f5e6
d7e6
g5g6
f7e8
c6c7
b6b5
d6d7
d8d7
b1d2
f8h8
g1e2
d7d6
d2b1
d6d2
b1d2
h8h5
d2b1
c3a2
b1d2
a2c1
d2b1
b5b4
b1d2
h5h7
g6h7
e8f8
h7h8q
f8f7
d2b1
c8b8
c7c8q
b8b7
b1d2
b7e7
d2b1
e7e8
b1d2
e8d8
d2b1
d8e8
b1d2
c1e2
d2b1
e2d4
b1d2
b4b3
d2b1
e8e7
b1d2
f6f5
d2b1
e7d7
b1d2
g7g5
d2b1
d7b7
b1d2
b7d7
d2b1
e6e5
b1d2
f5f4
d2b1
d4c2
d1c2
d7d3
b1d2
g5g4
h3g4
d3c3
g4g5
c3c2
g5g6
f7e7
g6g7
c2c4
g7g8q
c4c5
d2b1
c5c8
b1d2
h4h3
d2b1
h3h2
b1d2
c8e8
d2b1
a5a4
b1d2
e8f8
d2b1
f8e8
b1d2
e5e4
d2b1
e8g8
b1d2
e7d8
d2b1
f4f3
b1d2
f3f2
e1d1
d8c8
d2b1
e4e3
b1d2
c8d7
d2b1
g8b8
b1d2
b3b2
d2b1
b8h8
b1d2
h8d8
d2b1
d7e6
b1d2
e6f7
f1e2
d8d3
e2f1
e3e2
f1e2
a4a3
e2f1
d3e3
d2b1
e3e7
b1d2
e7d7
f1e2
b2a1q
d1c2
a1d4
d2b1
d7d8
b1d2
d4a1
d2b1
a1f6
b1d2
f6g7
d2b1
g7g3
b1d2
g3f4
d2b1
f4h4
b1d2
d8g8
d2b1
f7e7
b1d2
h4h3
d2b1
h3h5
b1d2
g8g5
d2b1
h5h8
b1d2
e7f6
d2b1
h8b8
b1d2
b8f8
d2b1
f8d8
b1d2
g5c5
d2c4
f6e6
e2d1
e6d5
d1e2
d5e6
e2d1
e6d5
d1e2
c5c7
e2d1
c7h7
c4b2
h7f7
b2d3
d8c8
d3c5
f2f1q
d1e2
f1f4
e2d1
f4a4
c2b1
f7f6
c5b3
a4a8
b3a1
c8e8
a1c2
e8e7
c2a1
f6f7
a1c2
a8a4
c2a1
d5c5
a1c2
a4d7
c2a1
c5b4
a1c2
b4b3
c2a1
b3b4
a1c2
b4b3
c2a1
b3c3
a1c2
c3d2
c2a1
d7a4
a1c2
e7e4
d1e2
f7f8
e2d1
e4h7
d1e2
a4g4
e2d1
g4f3
d1e2
f3f4
e2d1
f4e4
d1e2
f8d8
e2d1
h7d7
d1e2
d7b7
e2b5
e4c2
b1a1
c2d1
h1d1
d2e3
b5f1
d8g8
f1e2
g8b8
e2f1
b8h8
f1e2
h2h1q
e2f1
h8h3
f1e2
b7e4
e2f1
e3f4
f1e2
h3f3
e2f1
h1h3
f1e2
f4e5
e2f1
h3h1
f1e2
f3f1
e2f1
e5f5
f1e2
e4e7
e2f1
h1g2
f1e2
g2c6
e2f1
e7c5
f1e2
c6f6
d1d4
f6e5
e2d1
c5c3
a1b1
f5e6
d1c2
e5h5
c2d1
h5a5
d1c2
a5g5
c2d1
e6e7
d1c2
g5g6
c2d3
g6g5
d3f1
g5d5
f1e2
c3c1
b1c1
d5d4
e2d1
e7f7
d1c2
d4g7
c2b1
g7h7
b1a2
f7e7
a2b1
h7f5
b1a2
f5f3
a2b1
e7f7
b1a2
f7g7
a2b1
f3d3
b1a2
d3d4
a2b1
d4h4
b1a2
h4e1
c1c2
g7g6
a2b1
e1e8
b1a2
g6g5
a2b1
e8g8
b1a2
g5h5
a2b1
g8h8
b1a2
h8a8
a2b1
h5h4
b1a2
h4g5
a2b1
a8f3
b1a2
f3e4
c2c1
e4e2
a2b1
e2f3
b1a2
f3g4
a2b1
g4g1
c1c2
g1e3
b1a2
g5f6
a2b1
f6e5
b1a2
e3e4
c2c1
e4c2
c1c2
e5f5
a2b1
f5g5
b1a2
g5h4
a2b1
h4h5
b1a2
h5h6
a2b1
h6g6
b1a2
g6h5
a2b1
h5h6
b1a2
h6h5
a2b1
h5g6
b1a2
g6f6
a2b1
f6g5
b1a2
g5g4
a2b1
g4f4
b1a2
f4e4
a2b1
e4f5
b1a2
f5g5
a2b1
g5f5
b1a2
f5f4
a2b1
f4f5
b1a2
