g2g4
g8f6
b2b4
f6g4
b1a3
b8c6
a3c4
h8g8
c4e5
g4e5
c2c4
g8h8
d1c2
e5c4
g1h3
c6d4
c2g6
f7g6
f2f4
d4c2
e1d1
c2a1
b4b5
c4d2
a2a3
d2f1
f4f5
f1h2
h3f2
g6f5
c1d2
h2g4
d1e1
g4f2
h1h2
g7g5
e1f1
a1c2
h2h3
f2h3
d2g5
h3g5
f1f2
c2a3
f2g3
a3b5
e2e3
b5c3
g3h4
c3a2
h4g5
d7d5
g5h4
a2c1
h4g5
c1e2
e3e4
f5e4
g5h5
e2d4
h5g5
d4f5
g5h5
f5h4
h5g5
h4f5
g5g4
f5d4
g4g3
d4f5
g3h2
f5d4
h2g3
d4f5
g3h2
f5d4
h2g3
