b1a3
d7d5
g2g3
e7e5
g3g4
f8a3
g1h3
a3b2
a2a4
b2a1
g4g5
c8h3
f1g2
h3g2
h1g1
d8g5
g1f1
g2f1
c2c4
d5c4
d2d3
g5c1
d3d4
e5d4
f2f4
c1d1
e1d1
