b1c3
e7e5
e2e3
g8e7
g1f3
c7c6
f3e5
d8c7
d2d4
c7a5
d1f3
f7f5
e3e4
a5b5
c3b5
e7g8
b5c7
e8d8
c7a8
h7h5
e5f7
d8e8
f7h8
g7g6
e4f5
g8f6
f3e3
f8e7
h8g6
f6g4
e3e7
