c2c3
g7g5
d1b3
h7h5
b3b7
h5h4
b7c7
f8h6
c7d7
d8d7
b2b3
f7f5
g1h3
d7d4
h3g5
h6g5
c3d4
c8b7
e1d1
e8d7
b1c3
b7d5
c3d5
e7e6
d5b6
d7d6
b6a8
g5f4
a8c7
h4h3
c7e6
f4h6
g2h3
h6e3
d2e3
g8f6
d1e1
d6d7
e6g5
d7e8
h3h4
f6h7
g5h7
b8a6
f1h3
e8f7
h3f5
a6c7
f5h3
h8h7
c1a3
f7g8
f2f3
h7e7
a3e7
a7a5
h3f1
c7d5
a1b1
d5c7
a2a3
c7a8
b3b4
a8b6
b4a5
b6a4
e1f2
a4b2
b1b2
g8g7
b2b1
g7g6
b1b7
g6h7
f2e1
h7g6
b7c7
g6g7
e7d8
g7g6
c7d7
g6h6
e3e4
h6g6
d8b6
g6h6
h1g1
h6h5
d7h7
